#漢字	音標	解釋
䉪	luj3	一種捕魚工具、深䉪，地名
版	pᴀn3	
牌	pʰᴀj2	
牙	ŋᴀ2	
牚	tsʰɐŋ1	
牛	ŋow2	
牟	mow2	
牠	hᴀ1	
牡	mᴀw2	
牢	lᴀw2	
牧	moʊk8	
物	mɐt8	
牲	sɐŋ1	
牴	tei3	
特	teɪk8	
牽	hin1	
犀	sei1	
犁	lei2	
犄	ki1	
犢	toʊk8	
犧	hi1	
犬	hin3	
犯	fᴀn4	
狀	tsɔŋ4	
狂	kʰwɐŋ2	
狄	teɪk8	
狐	wu2	
狗	kow3	
狠	hɐn3	
狡	kɛw3	
狩	siw1	
狸	li2	
狹	hᴀp8	
狼	lɔŋ2	
狽	puj1	
猖	tsʰœŋ1	
猙	tsɐŋ1	
猛	mɐŋ3	
猛	mɐŋ2	
猜	tsʰᴀj3	
猝	tsʰut6	
猝	tsut6	
猩	seɪŋ1	
猴	how2	
猶	jiw2	
猾	wɛt8	
猿	jᴀn2	
獄	joʊk8	
獅	si1	
獎	tsœŋ3	
獗	kʰit7	
獨	toʊk8	
獰	neɪŋ2	
獲	wɐk8	
獵	lip8	
獷	kwɐŋ3	
獷	kʰwɐŋ1	
獸	sow1	
獺	tsʰᴀt7	
獻	hin1	
獼	mi2	
獼	ni2	
玄	jᴀn2	
率	lɐt8	
率	sɐt6	率領
玉	joʊk8	
王	wɐŋ2	國王
王	wɐŋ4	王天下
玖	kɐu3	
玩	wᴀn3	去玩
玩	wun4	玩弄
玫	muj2	
玲	leɪŋ2	
玷	tim1	
玻	pu1	
珀	pʰɐk7	
珊	sᴀn1	
珍	tsɐn1	
珠	tsi1	
班	pᴀn1	
珮	pʰuj1	
現	jᴀn4	
球	kʰɐu2	
琅	lɔŋ2	
理	li2	
琇	sɐu1	
琉	lɐu2	
琢	tœk7	
琥	fu3	
琦	kʰi2	
琪	kʰi2	
琳	lɐm2	
琴	kʰɐm2	
琵	pʰi2	
琶	pʰᴀ2	
瑋	wi3	
瑋	wi2	
瑕	hᴀ2	
瑙	nᴀw3	
瑚	wu2	
瑛	jeɪŋ1	
瑜	ji2	
瑞	suj4	
瑟	sɐt6	
瑣	su3	
瑤	jᴀw2	
瑩	jeɪŋ2	
瑪	mᴀ1	
瑯	lɔŋ2	
瑰	kwi1	
瑾	kɐn3	
璀	tsʰuj1	
璃	li1	玻璃
璃	li2	琉璃
璋	tsœŋ1	
璞	pʰɔk7	
璧	peɪk7	
璨	tsʰᴀn1	
環	wᴀn2	
璽	sᴀj3	
瓊	kʰweɪŋ2	
瓏	loʊŋ2	
瓜	kwᴀ1	
瓠	wu4	
瓢	pʰiw2	
瓣	fᴀn4	花瓣
瓦	ŋᴀ2	
瓶	pʰɛŋ2	油瓶
瓶	pʰeɪŋ2	
瓷	tsʰi2	
甄	jin1	
甕	ʔoʊŋ1	
甘	kɐm1	
甚	sɐm4	
甜	him2	
生	sɐŋ1	
產	tsʰᴀn3	
甥	sɐŋ1	
甦	su1	
用	joʊŋ4	
甩	lɐt6	
甫	pʰu3	台甫
田	hin2	
由	jiw2	
甲	kᴀp9	
甲	kᴀp7	
申	sɐn1	
男	nᴀm2	
甸	tin4	
町	teɪŋ1	
町	teɪŋ3	町畦
畀	pi3	
界	kᴀj1	
畏	wi1	
畔	pun4	
留	lɐu2	
畚	pun3	
畜	tsʰoʊk6	
畝	mow2	
畢	pɐt6	
略	lœk8	
畦	kʰwi2	
番	fᴀn1	
畫	wᴀ4	
畫	wɐk8	畫圖
異	ji4	
當	tɔŋ1	當然
當	tɔŋ1	適當
畸	kʰi1	
疆	kœŋ1	
疇	tsʰiw2	
疊	tip8	
疏	su1	
疑	ji2	
疚	kɐu1	
疣	jiw2	
疤	pᴀ3	
疫	jeɪk8	
疲	pʰi2	
疵	tsʰi3	
疹	tsʰɐn3	
疼	hɐŋ2	疼痛
疾	tsɐt8	
病	pɛŋ4	
症	tseɪŋ1	
痊	tsʰin2	
痕	hɐn2	
痘	tow4	
痛	hoʊŋ1	
痠	sun1	
痢	lei4	
痢	li4	
痰	hᴀm2	
痲	mᴀ2	
痴	tsʰi1	
痺	pi1	
瘋	foʊŋ1	
瘍	jœŋ2	
瘓	wun4	
瘖	jim1	
瘠	tsɛk7	
瘡	tsʰɔŋ1	
瘤	lɐu2	
瘦	sow1	
瘧	jœk8	
療	liw2	
癌	ŋᴀm2	
癒	ji4	
癟	pit8	
癢	jœŋ1	
癤	tsit7	
癥	tseɪŋ1	
癩	lᴀj1	
癮	jin2	
癱	hᴀn1	
癲	tin1	
癸	kwi1	
登	tɐŋ1	
發	fᴀt6	長發里，地名
發	fᴀt7	
白	pɐk8	
百	pɐk7	一百
百	peɪk6	百厭
皂	tsᴀw4	
的	teɪk6	
皆	kᴀj1	
皇	wɐŋ2	
皎	kɛw3	
皓	hᴀw4	
皚	ŋuj2	
皮	pʰi2	
皰	pʰɛw1	
皺	tsow1	
皿	meɪŋ1	
皿	meɪŋ2	
盂	ji2	
盃	puj1	
盆	pʰɐn2	
盈	jeɪŋ2	
益	jeɪk6	
盎	ʔɔŋ1	
盒	hɐp8	
盔	kʰwi1	
盛	seɪŋ2	盛湯
盛	seɪŋ4	旺盛
盜	tᴀw4	
盞	tsᴀn3	
盟	mɐŋ2	
盡	tsɐn4	
監	kᴀm1	
盤	pʰun2	
盧	lu2	
盪	tɔŋ4	
目	moʊk8	
盯	tɛŋ1	
盯	teɪŋ1	
盲	mɐŋ2	
直	tseɪk8	
相	sœŋ1	
盹	tɐn4	
盼	pʰᴀn1	
盾	hɐn2	
省	sɐŋ3	廣東省
省	seɪŋ3	反省
眇	miw2	
眈	tᴀm1	
眉	mi2	
看	hun1	看守
真	tsɐn1	
眠	min2	
眨	tsᴀm3	
眩	jᴀn4	
眶	kʰwɐŋ1	
眷	kin1	
眺	hiw1	
眼	ŋɛn3	
眾	tsoʊŋ1	
睇	hɛ3	看
睏	kʰun1	
睛	tseɪŋ1	
睜	tsɐŋ1	
睞	luj4	
睡	suj4	
督	toʊk6	
睦	moʊk8	
睪	kᴀw1	睪丸
睪	jeɪk8	
睫	tsit8	
睬	tsʰuj3	
睹	tu3	
睽	kʰwi2	
睾	kᴀw1	
瞄	miw2	
瞇	mi1	
瞋	tsʰɐn1	
瞌	hɐp6	
瞎	hɐt8	
瞞	mun2	
瞟	pʰiw2	
瞠	tsʰɐŋ1	
瞥	pʰit7	
瞧	tsʰiw2	
瞪	tɐŋ1	
瞬	sɐn1	
瞭	liw2	瞭解
瞭	liw4	瞭望
瞭	liw4	明瞭
瞰	hɐm1	
瞻	tsim1	
瞼	kim3	
瞿	kuj1	瞿然一驚
瞿	kʰuj2	瞿塘峽
矇	moʊŋ2	
矗	tsʰoʊk6	
矚	tsoʊk6	
矛	mᴀw2	
矢	tsʰi3	
矣	ji2	
矣	ʔɐ3	
知	ti1	知道
知	tsi1	知識
矩	kuj3	
短	tun3	
矮	ʔei3	
矯	kiw3	
石	sɛk8	
矽	tseɪk8	
砂	sᴀ1	
砌	tsʰei1	
砍	hɐm3	
研	jᴀn2	
砝	fᴀt7	
砧	tɐm2	砧板
砧	tsɐm2	砧板
砰	pʰeɪŋ1	
砲	pʰɛw1	
破	pʰu1	
砵	put8	
砸	tsᴀp8	
砸	tsᴀp7	
硓	lᴀw3	
硝	siw1	
硫	lɐu2	
硬	ŋɐŋ4	
硯	jᴀn4	
硼	pʰɐŋ2	
碌	loʊk6	
碎	suj1	
碑	pi1	
碗	wun3	
碘	tin3	
碟	tip8	
碧	peɪk7	
碩	sɛk8	
碰	pʰoʊŋ1	
碳	hᴀn1	
確	kʰɔk7	
碼	mᴀ2	
碾	nin3	
磁	tsʰi2	
磅	pɔŋ4	一磅
磅	pʰɔŋ2	磅礴
磋	tsʰu1	
磕	hɐp8	
磚	tsin1	
磨	mu2	
磨	mu4	
磯	ki1	
磷	lɐn2	
磺	wɐŋ2	
礁	tsiw1	
礎	tsʰu3	
礙	ŋuj4	
礦	kʰwɐŋ1	
礫	leɪk6	
礴	pɔk8	
示	si4	
社	sɪᴀ2	
祀	tsi4	
祂	hᴀ1	
祇	kʰi2	神祇
祇	tsi3	同“只有”的“只”
祈	kʰi2	
祉	tsi3	
祐	jiw4	
祕	pi1	
祖	tsu3	
祝	tsoʊk6	
神	sɐn2	
祟	suj4	
祠	si2	
祥	tsʰɔŋ2	
票	pʰiw1	
祭	tsei1	
祿	loʊk8	
禁	kɐm1	禁止
禁	kʰɐm1	禁著
禍	wᴀ4	
禎	tseɪŋ1	
福	foʊk6	
禤	hin1	便嬛
禦	ji4	
禧	hi1	
禪	sim2	禪師
禪	sin4	禪讓
禮	lei1	
禱	hᴀw3	
禹	ji2	
禽	kʰɐm2	
禾	wᴀ2	
禿	hoʊk6	
秀	sɐu1	
私	si1	
秉	peɪŋ3	
秋	tsʰɐu1	
科	fa1	
秒	miw2	
秘	pi1	
租	tsu1	
秤	tsʰeɪŋ1	地秤
秤	tsʰeɪŋ2	
秤	pʰeɪŋ2	天秤
秦	tsʰɐn2	
秧	jœŋ1	
秩	tit8	
移	ji2	
稀	hi1	
稅	suj1	
稈	kun3	
程	tsʰeɪŋ2	
稍	sᴀw3	
稔	nɐm2	
稚	tsi4	
稜	leɪŋ2	
稞	fa1	
稟	pɐn3	
稠	tsʰiw2	
種	tsoʊŋ1	種植
種	tsoʊŋ3	種子
稱	tsʰeɪŋ1	稱呼
稻	tᴀw4	
稽	kʰei1	稽首
稽	kʰei3	無稽之談
稿	kᴀw3	
穀	koʊk6	
穆	moʊk8	
穌	su1	
積	tseɪk6	
穎	weɪŋ4	
穗	suj4	
穢	wi1	
穩	wun3	
穫	wɐk8	
穴	jᴀt8	
究	kɐu1	
穹	kʰoʊŋ2	
空	hoʊŋ1	
穿	tsʰun1	
突	tɐt8	
窄	tseɪk6	
窈	jᴀw3	
窒	tsɐt8	
窕	hiw2	
窖	kɛw1	
窗	tsʰɔŋ1	
窘	kʰun1	
窟	wut6	
窣	sut6	
窩	wᴀ1	
窪	wᴀ1	
窮	kʰoʊŋ2	
窯	jᴀw2	
窸	seɪk6	
窺	kʰwi1	
窿	loʊŋ1	
竄	tsʰun3	
竅	kʰiw1	
竇	tow4	
竊	sit7	
立	lɐp8	
竑	wɐŋ2	
站	tsᴀm4	
竟	keɪŋ3	
章	tsœŋ1	
竣	tsɐn1	
童	hoʊŋ2	
竭	kʰit7	
端	tun1	
競	keɪŋ4	
竹	tsoʊk6	
竺	tsoʊk6	
竿	kun1	
笆	pᴀ3	
笑	siw1	
笙	sɐŋ1	
笛	tɛk6	
笠	lɐp6	
符	fu2	
笨	pun4	
第	tei4	
筆	pɐt6	
等	teɪŋ3	
筋	kɐn1	
筍	sɐn3	
筏	fut8	
筐	hɔŋ1	
筑	tsoʊk6	
筒	hoʊŋ2	
答	tᴀp7	
策	tsʰɐk7	
筵	jᴀn2	
筷	fᴀj1	
箋	tsin1	
箍	kʰu1	
箏	tsɐŋ1	
箔	pɔk8	
箕	ki1	
算	sun1	
管	kun3	
箬	jœk8	
箭	tsin1	
箱	sœŋ1	
箱	sœŋ2	
節	tsit6	
節	tsit7	
範	fᴀn4	
篇	pʰin1	
築	tsoʊk6	
篙	kᴀw1	
篛	jœk8	
篝	kʰow1	
篤	toʊk9	
篤	toʊk6	
篩	sei1	
篷	pʰoʊŋ2	
篾	mit8	
簇	tsʰoʊk6	
簍	low2	
簑	su1	
簡	kᴀn3	
簧	wɐŋ2	
簫	siw1	
簷	sim2	
簸	pu1	
簽	tsʰim1	
簾	lim2	
簿	pu4	
籃	lᴀm2	
籌	tsʰiw2	
籍	tseɪk8	
籐	hɐŋ2	
籟	lᴀj4	
籠	loʊŋ2	
籤	tsʰim1	
籬	li2	
籮	lu2	
籲	ji4	
米	mei3	
籽	tsi3	
粄	pᴀn3	
粉	fun3	
粑	pᴀ3	
粒	nɐp6	
粕	pʰɔk7	
粗	tsʰu1	
粘	tsim1	
粟	soʊk6	
粥	tsoʊk6	
粱	lœŋ2	
粵	jᴀt8	
粹	suj4	
糉	tsoʊŋ3	
糉	tsoʊŋ2	
精	tsɛŋ1	好正
精	tseɪŋ1	
粿	kwᴀ3	
糊	wu2	
糍	tsʰi2	丸糍、團糍
糕	kᴀw1	
糖	hɔŋ2	
糗	tsʰɐu1	
糙	tsʰᴀw1	
糜	mi2	
糞	fun1	
糟	tsᴀw1	
糧	lœŋ2	
糬	si2	
糯	nu4	
糰	hin2	
系	hei4	
糾	tɐu3	
糾	kɐu3	糾正
紀	ki3	
紂	tsiw4	
約	jœk7	
紅	koʊŋ1	女紅
紅	hoʊŋ2	紅色
紉	jin4	
紊	mɐn1	
紋	mɐn2	
納	nᴀp8	
紐	nɐu3	
紓	si1	
純	sɐn2	
紗	sᴀ1	
紙	tsi3	
級	kʰɐp6	
紛	fun1	
素	su1	
紡	fɐŋ3	
索	sɔk6	
索	sɔk7	
紫	tsi3	
紮	tsᴀt7	
累	luj2	果實累累，同“纍”
累	luj4	累積
細	sei1	
紳	sɐn1	
紹	siw4	
終	tsoʊŋ1	
絃	jᴀn2	
組	tsu3	
絆	pun4	
結	kit7	
絕	tsit8	
絛	hᴀw1	
絞	kɛw3	
絡	lɔk8	
絢	hin1	
給	kʰɐp7	
絨	joʊŋ2	
絮	suj1	
統	hoʊŋ3	
絲	si1	絲瓜
絲	si2	絲襪
絹	kin1	
綁	pɔŋ3	
綏	suj1	
綑	kʰun3	
經	keɪŋ1	
綜	tsoʊŋ1	
綠	loʊk8	
綢	tsʰu2	
維	wi2	
綱	kɔŋ1	
網	mɔŋ3	
綴	tsuj4	點綴
綴	tsut7	綴足
綵	tsʰuj3	
綸	kwᴀn1	綸巾
綸	lɐn2	垂綸
綺	ji3	
綻	tsᴀn4	
綽	tsʰœk7	
綽	tsʰɔk7	
綿	min2	
緊	kɐn3	
緖	suj1	
緘	kᴀm1	
線	sin1	
緝	tsʰɐp6	
緞	tun4	
締	tei1	
緡	mɐn2	
緣	jᴀn2	
編	pʰin1	
緩	wun4	
緬	min1	
緯	wi2	
練	lin4	
緻	tsi1	
縈	jeɪŋ2	
縊	ʔei1	
縐	tsow1	
縛	pɔk7	
縣	jᴀn4	
縫	foʊŋ2	
縮	soʊk6	
縱	tsoʊŋ1	縱橫
縴	hin1	
縷	luj1	
總	tsoʊŋ3	
績	tseɪk6	
繁	fᴀn2	
繃	pɐŋ1	繃帶
繆	mɐu2	未雨綢繆
繆	mɐu4	繆論
織	tseɪk6	
繕	sin4	
繚	liw2	
繞	jᴀw3	
繡	sɐu1	
繩	seɪŋ2	
繪	kʰuj3	
繫	hei4	
繭	kᴀn3	
繳	kiw3	
繹	jeɪk8	
繼	kei1	
繽	pɐn1	
續	tsoʊk8	
纍	luj4	
纏	tsʰin2	
纖	tsʰim1	
纜	lᴀm4	
缸	kɔŋ1	
缺	kʰit7	
缽	put8	
罄	heɪŋ1	
罈	hᴀm2	
罌	ʔɐŋ1	
罐	kun1	
罕	hun3	
罷	pᴀ4	
罩	tsᴀw1	
罩	tsᴀw2	
罪	tsuj4	
置	tsi1	
罰	fut8	
署	tsʰi2	
罵	mᴀ4	
罷	pᴀ4	
罹	li2	
羅	lu2	
羊	jœŋ2	
羌	kœŋ1	
美	mi3	
美	mi2	
羔	kᴀw1	
羚	leɪŋ2	
羞	sɐu1	
羣	kʰun2	
羨	sin4	
義	ji4	
羲	hi1	
羹	kɐŋ1	
羽	ji2	
羿	ŋei4	
翁	joʊŋ1	
翅	tsʰi1	
翌	jeɪk8	
習	tsᴀp8	
翔	tsʰɔŋ2	
翠	tsʰuj1	
翡	fi3	
翦	tsin3	
翩	pʰin1	
翰	hun4	
翱	ŋᴀw2	
翹	kʰiw1	翹起
翹	kʰiw2	翹首
翻	fᴀn1	
翼	jeɪk8	
耀	jᴀw4	
老	lᴀw3	
考	hᴀw3	
者	tsɪᴀ3	
而	ji2	
耍	sᴀ3	
耐	nuj4	
耒	luj2	
耕	kɐŋ1	
耗	hᴀw1	
耘	wun2	
耙	pʰᴀ2	
耜	tsi4	
耳	ji3	
耶	jɪᴀ2	
耽	tᴀm1	
耿	kɐŋ3	
聆	leɪŋ2	
聊	liw2	
聒	kʰut7	
聖	seɪŋ1	
聘	pʰeɪŋ1	
聚	tsʰu1	聚錢，存錢
聚	tsuj4	
聞	mɐn2	
聯	lin2	
聰	tsʰoʊŋ1	
聲	sɛŋ1	
聲	seɪŋ1	聲樂
聳	soʊŋ3	
聶	nip8	
職	tseɪk6	
聽	hɛŋ1	聽力
聽	heɪŋ1	聽任
聾	loʊŋ2	
肅	soʊk6	
肆	si1	四的大寫
肆	si1	肆意
肇	siw4	
肉	joʊk8	
肋	lɐk8	
肌	ki1	
肖	tsʰiw1	肖像
肖	siw1	
肘	tsᴀw3	
肚	tu3	
肛	kɔŋ1	
肝	kun1	
股	ku3	
肢	tsi1	
肥	fi2	
肨	pun4	
肩	kin1	
肪	fɐŋ1	
肫	tsɐn1	
肯	hɐŋ3	
肱	kwɐŋ1	
育	joʊk8	
肴	ŋᴀw2	
肺	fi1	
胃	wi4	
背	puj1	背後
背	puj4	背書
胎	huj1	
胖	pun4	肥胖
胖	pʰun2	心廣體胖
胚	pʰuj1	同“坯”
胝	tsi1	
胞	pɛw1	
胡	wu2	
胰	ji2	委蛇
胱	kwɐŋ1	
胳	kɐk7	
胸	hoʊŋ1	
胼	pʰin2	
能	neɪŋ2	
脂	tsi1	
脅	hip7	
脆	tsʰuj1	
脈	mɐk8	
脊	tsɛk7	
脖	put8	
脣	sɐn2	
脩	sɐu1	
脫	hut7	
脯	pʰu3	肉脯
脹	tsœŋ1	
脾	pʰi2	
腆	hin3	
腋	jeɪk8	
腎	sɐn4	
腐	fu4	
腔	hɔŋ1	
腕	wun3	
腥	sɛŋ1	
腥	sɛŋ2	
腥	seɪŋ1	
腦	nᴀw3	
腩	nᴀm2	牛腩
腩	nɐm2	肚腩
腫	tsoʊŋ3	
腮	suj1	
腰	jᴀw1	
腳	kœk7	
腸	tsʰœŋ2	
腹	foʊk6	
腺	sin1	
腿	huj3	
膀	pɔŋ3	肩膀
膀	pʰɔŋ2	膀胱
膊	pɔk7	
膏	kᴀw1	
膚	fu1	
膛	hɔŋ2	
膜	mɔk8	薄膜
膜	mu2	膜拜
膝	sɐp6	
膠	kɛw1	
膨	pʰɐŋ2	
膩	ni4	
膽	tᴀm3	
膾	kʰuj3	
膿	noʊŋ2	
臀	hun2	
臂	pi1	
臉	lim1	
臍	tsʰi2	
臏	pɐn1	
臘	lᴀp8	
臟	tsɔŋ4	
臣	sɐn2	
臥	ŋu4	
臨	lɐm2	
自	tsi4	
臭	tsʰiw1	
至	tsi1	
致	tsi1	
臺	huj2	
臼	kʰɐu1	
舀	jᴀw1	
舂	tsoʊŋ3	
舅	kʰɐu2	
與	ji2	參與
與	ji4	我與你
興	heɪŋ1	
舉	kuj3	
舊	kɐu4	
舌	sit8	
舍	sɪᴀ1	舍人
舍	sɪᴀ3	舍生取義
舍	sɪᴀ2	宿舍
舐	sᴀj3	
舒	si1	
舔	him3	
舛	tsʰun3	
舜	sɐn1	
舞	mu3	
舞	mu2	
舟	tsiw1	
航	hɔŋ2	
般	pun1	
舵	hu2	
船	sun2	
舺	kᴀp7	
艇	hɛŋ1	
艇	hɛŋ2	
艋	mɐŋ2	
艘	sow3	
艙	tsʰɔŋ1	
艦	lᴀm4	
良	lœŋ2	
艱	kᴀn1	
色	seɪk6	
艾	ŋᴀj4	
芋	wu4	
芒	mɔŋ1	芒果
芒	mɔŋ2	光芒
芙	fu2	
芝	tsi1	
芡	him1	
芥	kᴀj1	
芬	fun1	
芭	pᴀ3	
花	fᴀ1	
芳	fɐŋ1	
芸	wun2	
芹	kʰɐn2	
芽	ŋᴀ2	
芾	fi1	蔽芾
芾	fut6	芾芾
苑	jᴀn3	
苔	huj2	
苗	miw2	
苙	lɐp6	
苛	hu1	
苞	pɛw1	
苟	kow3	
若	jɪᴀ2	般若
若	jœk8	假若
若	nœk9	你哋
苦	fu3	
英	jeɪŋ1	
苻	fu2	
茁	tsit7	
茂	mow4	
范	fᴀn4	
茄	kᴀ3	
茄	kʰɪᴀ2	茄瓜
茅	mᴀw2	
茉	mut8	
茨	tsʰi2	
茫	mɔŋ2	
茱	tsi1	
茲	tsʰi2	龜茲，國名
茲	tsi1	在茲
茵	jin1	
茶	tsʰᴀ2	
茸	joʊŋ2	
茹	ji2	
茼	hoʊŋ2	
草	tsʰᴀw3	
荊	keɪŋ1	
荐	tsin1	
荒	fɐŋ1	
荳	tow4	
荷	hu2	荷花
荷	hu4	負荷
荻	teɪk8	
荼	hu2	如火如荼
荼	si1	神荼
莉	lei4	
莉	li4	
莊	tsɔŋ1	
莎	sᴀ1	
莒	kuj3	
莓	muj2	
莖	keɪŋ1	
莢	kᴀp7	
莫	mɔk8	
莽	mɔŋ3	
菁	tseɪŋ1	
菇	ku1	
菊	koʊk6	
菌	kʰun3	
菖	tsʰœŋ1	
菜	tsʰuj1	
菟	hu1	
菠	pu1	
菠	pu3	
菩	pʰu2	
菫	kɐn3	
華	wᴀ2	中華
華	wᴀ4	華山
菱	leɪŋ2	
菲	fi1	
菸	jᴀn1	
萃	suj4	
萄	hᴀw2	
萊	luj2	
萋	tsʰei1	
萌	mɐŋ2	
萍	pʰeɪŋ2	
萎	wi3	枯萎
萬	mᴀn4	
萸	ji2	
落	lᴀj4	落低
落	lɔk8	落下
落	lɔk6	角落
葆	pᴀw3	
葉	jᴀp8	
著	tsi1	顯著
著	tsœk8	著涼
著	tsœk7	著衫
葚	sɐm4	
葛	kut9	
葛	kut7	
葡	pʰu2	
董	toʊŋ3	
葦	wi3	
葦	wi2	
葫	wu2	
葬	tsɔŋ1	
葵	kʰwi2	
蒂	tei1	
蒐	sow3	
蒙	moʊŋ2	
蒜	sun1	
蒲	pʰu2	
蒸	tseɪŋ1	
蒼	tsʰɔŋ1	
蒿	hᴀw1	
蓄	tsʰoʊk6	
蓆	tsɛk8	涼蓆
蓆	tsɛk9	又音
蓆	tseɪk8	
蓉	joʊŋ2	
蓊	joʊŋ3	
蓋	kuj1	杯蓋
蓋	kuj2	
蓋	kʰuj1	覆蓋
蓑	su1	
蓓	pʰuj2	
蓬	foʊŋ2	蓬江
蓬	pʰoʊŋ2	
蓮	lin2	
蔑	mit8	
蔓	mᴀn2	蔓菁
蔓	mᴀn4	藤蔓
蔔	pɐk8	
蔗	tsɪᴀ1	
蔚	wi1	
蔡	tsʰuj1	
蔣	tsœŋ3	
蔥	tsʰoʊŋ1	
蔬	su1	
蔭	jim1	
蔭	jim4	
蔻	kʰow1	
蔽	pei1	
蕃	fᴀn2	
蕉	tsiw1	
蕊	juj2	
蕙	wi4	
蕨	kʰit7	
蕩	tɔŋ4	
蕪	mu2	
蕭	siw1	
蕾	luj2	
薄	pɔk8	
薇	mi2	
薑	kœŋ1	
薔	tsʰœŋ2	
薛	sit7	
薦	tsin1	
薩	sᴀt7	
薪	sɐn1	
薯	si2	
薰	fun1	
藉	tseɪk8	
藍	lᴀm2	
藏	tsʰɔŋ2	收藏
藏	tsɔŋ4	寶藏
藕	ŋow2	
藝	ŋei4	
藤	hɐŋ2	
藥	jœk8	
藥	jœk9	
藩	fᴀn2	
藷	si2	藷蕷
藷	tsi1	藷蔗
藹	ʔuj3	
藺	lɐn4	
藻	tsᴀw3	
蘆	lu2	
蘇	su1	
蘊	wun1	
蘋	pʰeɪŋ2	
蘚	sin3	
蘭	lᴀn2	
蘸	tsᴀm1	
蘿	lu2	
虎	fu3	
虐	jœk8	
虔	kʰin2	
處	tsʰi1	
處	tsʰuj3	處理
處	tsʰuj2	四處
虛	huj1	
虜	lu1	
虞	ji2	
號	hᴀw2	哀號
號	hᴀw4	號碼
虧	kʰwi1	
虹	hoʊŋ2	
蚊	mɐn1	
蚊	mɐn2	
蚌	pʰɔŋ2	
蚓	jin2	
蚜	ŋᴀ2	
蚣	koʊŋ1	
蚤	tsᴀw3	
蚪	tow3	
蚯	jiw1	
蚱	tseɪk6	
蚵	hu2	
蛀	tsi1	
蛆	tsʰuj1	
蛇	ji2	
蛇	sɪᴀ2	毒蛇
蛉	leɪŋ2	
蛋	tᴀn4	
蛙	wᴀ1	
蛛	tsi1	
蛟	kɛw1	
蛤	kᴀp7	蛤拐
蛤	kɐp6	
蛤	hᴀ1	蛤蟆
蛹	joʊŋ3	
蛻	huj1	
蛾	ŋu2	
蜀	soʊk8	
蜂	foʊŋ1	
蜈	m̍2	
蜋	lɔŋ2	
蜍	tsʰuj2	
蜒	jᴀn2	蜿蜒
蜓	heɪŋ2	
蜘	tsi1	
蜜	mɐt8	
蜢	mɐŋ3	
蜥	seɪk6	
蜴	jeɪk8	
蜷	kʰin2	
蜻	tsʰeɪŋ1	
蜿	jᴀn1	
蜿	jᴀn3	蜿蟺
蝌	fa1	
蝕	seɪk8	侵蝕
蝕	sit8	蝕本
蝙	pʰin1	
蝟	wi4	
蝠	foʊk6	
蝦	hᴀ1	蝦蟆
蝦	hᴀ2	蝦米
蝨	sɪᴀt6	
蝴	wu2	
蝶	tip8	
蝸	wᴀ1	
螂	lɔŋ2	
螃	pʰɔŋ2	
融	joʊŋ2	
螞	mᴀ1	螞螂
螞	mᴀ3	螞蟻
螞	mᴀ4	螞蚱
螟	meɪŋ2	
螢	jeɪŋ2	
螯	ŋᴀw2	
螳	hɔŋ2	
螺	lu2	
螽	tsoʊŋ1	
蟀	sɐt6	
蟄	tsɐt8	
蟆	mᴀ2	
蟋	seɪk6	
蟑	tsœŋ1	
蟒	mɔŋ3	
蟠	pʰun2	
蟬	sim2	
蟯	jᴀw2	
蟲	tsʰoʊŋ2	
蟹	hᴀj3	
蟹	hᴀj2	
蟻	ŋei3	
蟾	sim2	
蠅	jeɪŋ2	
蠔	hᴀw2	
蠕	ji2	
蠟	lᴀp8	
蠢	tsʰɐn3	
蠣	lei4	
蠵	kʰwi2	
蠶	tsʰᴀm2	
蠻	mᴀn2	
血	hit7	
行	hɐŋ4	品行
行	heɪŋ2	步行
行	hɔŋ2	銀行
行	hɔŋ4	行行
衍	jᴀn3	
術	sɐt8	
街	kᴀj1	
街	kᴀj2	
衙	ŋᴀ2	
衛	wi4	
衝	tsʰoʊŋ3	
衡	hɐŋ2	
衣	ji1	
表	piw3	
衫	sᴀm1	
衰	tsʰuj1	齊衰
衰	suj1	衰老
衷	tsʰoʊŋ1	
袁	jᴀn2	
袋	tuj4	
袍	pʰᴀw2	
袒	hᴀn3	
袖	tsɐu4	
被	pi4	
被	pʰi2	被席
袱	foʊk8	
裁	tsʰuj2	
裂	lit8	
裏	li3	裏村，地名
裏	li2	衣裏
裏	luj2	夜裏
裔	juj4	
裕	ji4	
裙	kʰun2	
補	pu3	
裝	tsɔŋ1	
裡	li3	裡村，地名
裡	li2	衣裡
裡	luj2	夜裡
裳	sœŋ2	
裸	lu3	
裹	kwᴀ3	
製	tsei1	
褂	kwᴀ1	
複	foʊk6	
褐	hut7	
褒	pᴀw1	
褓	pᴀw3	
褥	joʊk8	
褪	hɐn1	褪落來
褪	huj1	褪色
褲	fu1	
褶	tip8	
褶	tsip7	皺褶
襁	kʰœŋ2	
襄	sœŋ1	
襖	ʔᴀw1	
襟	kʰɐm1	
襪	mɐt8	
襬	pᴀj3	
襯	tsʰɐn1	
襲	tsᴀp8	
西	sei1	
要	jᴀw1	
覆	foʊk6	
覈	hɐt8	
見	kin1	看見
見	jᴀn4	發見
規	kʰwi1	
覓	meɪk8	
視	si4	
親	tsʰɐn1	
覷	tsʰuj1	
覺	kɛw1	睡覺
覺	kɔk6	
覺	kɔk7	
覽	lᴀm2	
觀	kun1	
角	kɔk9	
角	kɔk6	角仔
角	kɔk7	直角
